"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
1871, 2.700003213750962e-01, 9.480393478075575e-01, 2.094985454093466e+02, 1.468492149204286e+04, -1.572325280613953e-02, 1.173131875464871e+08, 8.202705270321053e+05, 6.524329575126144e+02, -4.804921814322070e-06, 1.700015831889814e+00
1872, 5.196116412410782e-02, 7.300001330065614e-01, 2.094998915558389e+02, 1.468496749760431e+04, -1.440150333572499e-03, 1.173139432313293e+08, 8.202728156317030e+05, 6.524331773873009e+02, -3.582235151406031e-07, 1.700001221170125e+00
1873, 2.900008800305929e-01, 9.480400196271985e-01, 2.094978874693506e+02, 1.468489874735866e+04, -2.326500304713462e-02, 1.173128181812575e+08, 8.202694084696807e+05, 6.524328500468667e+02, -6.978263815988180e-06, 1.700022942956322e+00
1874, 5.195999613379294e-02, 7.099990586512714e-01, 2.094998664109247e+02, 1.468496673200476e+04, -1.760615609213713e-03, 1.173139291223261e+08, 8.202727728823046e+05, 6.524331732802273e+02, -4.412846488090765e-07, 1.700001504940147e+00
1875, 3.100014970031025e-01, 9.480412433802621e-01, 2.094969574215442e+02, 1.468486639071192e+04, -3.410952777089123e-02, 1.173122960412731e+08, 8.202678273075647e+05, 6.524326981356849e+02, -1.005042676618333e-05, 1.700032971163052e+00
1876, 5.195842059199932e-02, 6.899980943200621e-01, 2.094998356742556e+02, 1.468496579843500e+04, -2.146288399321871e-03, 1.173139118759067e+08, 8.202727206262639e+05, 6.524331682598179e+02, -5.428169778856628e-07, 1.700001852079679e+00
1877, 3.300021374251899e-01, 9.480429855353552e-01, 2.094956542684371e+02, 1.468482075732229e+04, -4.955322431792730e-02, 1.173115644147663e+08, 8.202656118541379e+05, 6.524324852821364e+02, -1.435500367627864e-05, 1.700046987958043e+00
1878, 5.195615125070922e-02, 6.699969613875487e-01, 2.094997982138690e+02, 1.468496466376860e+04, -2.607703441298066e-03, 1.173138908570121e+08, 8.202726569391065e+05, 6.524331621411816e+02, -6.665597132039874e-07, 1.700002275518365e+00
1879, 3.500026571702449e-01, 9.480451525375463e-01, 2.094938446460473e+02, 1.468475696663475e+04, -7.132658152249077e-02, 1.173105484127650e+08, 8.202625354056507e+05, 6.524321897023124e+02, -2.033247490741974e-05, 1.700066403318677e+00
1880, 5.195300878122223e-02, 6.499957025309822e-01, 2.094997527194366e+02, 1.468496328994067e+04, -3.156063371192088e-03, 1.173138653305356e+08, 8.202725795931364e+05, 6.524331547102947e+02, -8.168412189643509e-07, 1.700002790255682e+00
1881, 3.700028823878838e-01, 9.480475335138794e-01, 2.094913544683708e+02, 1.468466859233719e+04, -1.017092048808906e-01, 1.173091502754622e+08, 8.202583020530324e+05, 6.524317829602647e+02, -2.855778522646961e-05, 1.700093051231788e+00
1882, 5.194901211079651e-02, 6.299945536701517e-01, 2.094996976895120e+02, 1.468496163372639e+04, -3.802877546038316e-03, 1.173138344541788e+08, 8.202724860357307e+05, 6.524331457219162e+02, -9.986211849477549e-07, 1.700003413524244e+00
1883, 3.900027256513925e-01, 9.480498414014923e-01, 2.094879591458998e+02, 1.468454726986659e+04, -1.436637697729964e-01, 1.173072438771488e+08, 8.202525300735538e+05, 6.524312283698108e+02, -3.977261343661482e-05, 1.700129289005229e+00
1884, 5.194436944290895e-02, 6.099938203263882e-01, 2.094996314272115e+02, 1.468495964681929e+04, -4.559311351644979e-03, 1.173137972760427e+08, 8.202723733820105e+05, 6.524331348988832e+02, -1.217504866684029e-06, 1.700004164862819e+00
1885, 4.100022421878256e-01, 9.480518109274829e-01, 2.094833723858305e+02, 1.468438223913764e+04, -2.009872746476076e-01, 1.173046684338284e+08, 8.202447329261419e+05, 6.524304791642930e+02, -5.492229805980224e-05, 1.700178110002398e+00
1886, 5.193945298320460e-02, 5.899937723838461e-01, 2.094995520486163e+02, 1.468495727631367e+04, -5.435195539290490e-03, 1.173137527393587e+08, 8.202722384291328e+05, 6.524331219334832e+02, -1.479715317169221e-06, 1.700005066047657e+00
1887, 9.498659247840142e-01, 9.489992017793023e-01, 2.049125150769846e+02, 1.448910651614861e+04, -4.922687465215078e+01, 1.147361458604020e+08, 8.126087296481314e+05, 6.516800333362715e+02, -1.489150744041912e-02, 1.744255465829361e+00
